Table 1,,,
uniqueid,dq,character1,character2
0,Jessica Wild,RuPaul,N/A
0,Jujubee,Kimora Lee,N/A
0,Morgan McMichaels,Pink,N/A
0,Pandora Boxx,Carol Channing,N/A
0,Raven,Paris Hilton,N/A
0,Sahara Davenport,Whitney Houston,N/A
0,Kylie Sonique Love,Lady Gaga,N/A
0,Tatianna,Britney Spears,N/A
0,Tyra Sanchez,Beyoncé,N/A
1,Alexis Mateo,Alicia Keys,N/A
1,Carmen Carrera,Jennifer Lopez,N/A
1,Delta Work,Cher,N/A
1,Manila Luzon,Imelda Marcos,N/A
1,Mariah,Joan Crawford,N/A
1,Raja,Tyra Banks,N/A
1,Shangela,Tina Turner,N/A
1,Stacy Layne Matthews,Mo'Nique,N/A
1,Yara Sofia,Amy Winehouse,N/A
2,Chad Michaels,Cher,N/A
2,DiDa Ritz,Wendy Williams,N/A
2,Jiggly Caliente,Snooki,N/A
2,Kenya Michaels,Beyoncé,N/A
2,Latrice Royale,Aretha Franklin,N/A
2,Milan,Diana Ross,N/A
2,Phi Phi O'Hara,Lady Gaga,N/A
2,Sharon Needles,Michelle Visage,N/A
2,Willam,Jessica Simpson,N/A
3,Alaska,Lady Bunny,N/A
3,Alyssa Edwards,Katy Perry,N/A
3,Coco Montrese,Janet Jackson,N/A
3,Detox,Kesha,N/A
3,Ivy Winters,Marilyn Monroe,N/A
3,Jade Jolie,Taylor Swift,N/A
3,Jinkx Monsoon,Little Edie,N/A
3,Lineysha Sparx,Celia Cruz,N/A
3,Roxxxy Andrews,Tamar Braxton,N/A
4,Adore Delano,Anna Nicole Smith,N/A
4,BenDeLaCreme,Maggie Smith,N/A
4,Bianca Del Rio,Judge Judy,N/A
4,Courtney Act,Fran Drescher,N/A
4,Darienne Lake,Paula Deen,N/A
4,Gia Gunn,Kim Kardashian,N/A
4,Joslyn Fox,Teresa Giudice,N/A
4,Laganja Estranja,Rachel Zoe,N/A
4,Milk,Julia Child,N/A
4,Trinity K. Bonet,Nicki Minaj,N/A
5,Ginger Minj,Adele,N/A
5,Jaidynn Diore Fierce,Raven-Symoné,N/A
5,Kennedy Davenport,Little Richard,N/A
5,Katya,Suze Orman,N/A
5,Max,Sharon Needles,N/A
5,Miss Fame,Donatella Versace,N/A
5,Pearl,Big Ang,N/A
5,Violet Chachki,Alyssa Edwards,N/A
6,Acid Betty,Nancy Grace,N/A
6,Bob the Drag Queen,Uzo Aduba,Carol Channing
6,Chi Chi DeVayne,Eartha Kitt,N/A
6,Derrick Barry,Britney Spears,N/A
6,Kim Chi,Kimmy Jong-Un,N/A
6,Naomi Smalls,Tiffany Pollard,N/A
6,Robbie Turner,Diana Vreeland,N/A
6,Thorgy Thor,Michael Jackson,N/A
7,Aja,Alyssa Edwards,N/A
7,Alexis Michelle,Liza Minnelli,N/A
7,Cynthia Lee Fontaine,Sofia Vergara,N/A
7,Farrah Moan,Gigi Gorgeous,N/A
7,Nina Bo'nina Brown,Jasmine Masters,N/A
7,Peppermint,NeNe Leakes,N/A
7,Sasha Velour,Marlene Dietrich,N/A
7,Shea Couleé,Naomi Campbell,N/A
7,Trinity the Tuck,Amanda Lepore,N/A
7,Valentina,Ariadna Gutiérrez,N/A
8,Aquaria ,Melania Trump,N/A
8,Asia O’Hara,Beyoncé,N/A
8,Eureka,Alana “Honey Boo Boo” Thompson,N/A
8,Kameron Michaels,Chyna,N/A
8,Miz Cracker,Dorothy Parker,N/A
8,Monét X Change,Maya Angelou,N/A
8,Monique Heart,Maxine Waters,N/A
8,The Vixen,Blue Ivy Carter,N/A
9,A'keria C. Davenport,Tiffany Haddish,N/A
9,Brooke Lynn Hytes,Celine Dion,N/A
9,Nina West,Harvey Fierstein,Jo Anne Worley
9,Plastique Tiara,Lovely Mimi,N/A
9,Shuga Cain,Charo,N/A
9,Silky Nutmeg Ganache,Ts Madison,N/A
9,Vanessa Vanjie Mateo,Danielle Bregoli,N/A
9,Yvie Oddly,Whoopi Goldberg,N/A
10,Aiden Zhane,Patricia Quinn,N/A
10,Brita,Jennifer Holliday,N/A
10,Crystal Methyd,Poppy,N/A
10,Gigi Goode,Maria the Robot,N/A
10,Heidi N Closet,Leslie Jones,N/A
10,Jackie Cox,Lisa Rinna,N/A
10,Jan,Bernadette Peters,N/A
10,Jaida Essence Hall,Cardi B,N/A
10,Sherry Pie,Katharine Hepburn,N/A
10,Widow Von'Du,Tina Turner,Ike Turner
11,Denali,Jonathan Van Ness,N/A
11,Elliott with 2 Ts,Rue McClanahan,N/A
11,Gottmik,Paris Hilton,N/A
11,Kandy Muse,Patrick Starrr,N/A
11,Olivia Lux,Tabitha Brown,N/A
11,Rosé,"Mary, Queen of Scots",N/A
11,Symone,Harriet Tubman,N/A
11,Tina Burner,Richard Simmons,N/A
11,Utica Queen,Bob Ross,N/A
12,Angeria Paris VanMicheals,Tammie Brown,N/A
12,Bosco,Gwyneth Paltrow,N/A
12,Daya Betty,Ozzy Osbourne,N/A
12,DeJa Skye,Lil Jon,N/A
12,Jasmine Kennedie,Betsy DeVos,N/A
12,Jorgeous,Ilana Glazer,N/A
12,Lady Camden,William Shakespeare,N/A
12,Willow Pill,Drew Barrymore,N/A
13,Anetra,Gorgena Ramsay,N/A
13,Luxx Noir London,Amanda Lepore,N/A
13,Malaysia Babydoll Foxx,Saucy Santana,N/A
13,Mistress Isabelle Brooks,Rosie O'Donnell,N/A
13,Marcia Marcia Marcia,Tim Gunn,N/A
13,Robin Fierce,Karen Huger,N/A
13,Salina EsTitties,The Virgin Mary,N/A
